,referenceTime,sourceId
322,2020-12-01T00:00:00.000Z,SN61408:0
323,2020-12-01T00:00:00.000Z,SN43007:0
324,2020-12-01T00:00:00.000Z,SN68110:0
325,2020-12-01T00:00:00.000Z,SN31550:0
326,2020-12-01T00:00:00.000Z,SN91715:0
327,2020-12-01T00:00:00.000Z,SN27270:0
328,2020-12-02T00:00:00.000Z,SN46425:0
329,2020-12-01T00:00:00.000Z,SN85560:0
330,2020-12-01T00:00:00.000Z,SN65230:0
331,2020-12-01T00:00:00.000Z,SN47262:0
332,2020-12-01T00:00:00.000Z,SN55705:0
333,2020-12-01T00:00:00.000Z,SN48330:0
334,2020-12-01T00:00:00.000Z,SN46930:0
335,2020-12-01T00:00:00.000Z,SN69010:0
336,2020-12-01T00:00:00.000Z,SN91251:0
337,2020-12-01T00:00:00.000Z,SN60980:0
338,2020-12-01T00:00:00.000Z,SN5660:0
339,2020-12-01T00:00:00.000Z,SN18310:0
340,2020-12-01T00:00:00.000Z,SN49631:0
341,2020-12-01T00:00:00.000Z,SN47890:0
342,2020-12-01T00:00:00.000Z,SN61070:0
343,2020-12-01T00:00:00.000Z,SN90650:0
344,2020-12-01T00:00:00.000Z,SN46410:0
345,2020-12-01T00:00:00.000Z,SN62290:0
346,2020-12-01T00:00:00.000Z,SN82970:0
347,2020-12-01T00:00:00.000Z,SN38730:0
348,2020-12-01T00:00:00.000Z,SN8800:0
349,2020-12-01T00:00:00.000Z,SN56010:0
350,2020-12-01T00:00:00.000Z,SN770:0
351,2020-12-01T00:00:00.000Z,SN12550:0
352,2020-12-01T00:00:00.000Z,SN71280:0
353,2020-12-01T00:00:00.000Z,SN25640:0
354,2020-12-01T00:00:00.000Z,SN18265:0
355,2020-12-01T00:00:00.000Z,SN37070:0
356,2020-12-01T00:00:00.000Z,SN76250:0
357,2020-12-01T00:00:00.000Z,SN8450:0
358,2020-12-01T00:00:00.000Z,SN26950:0
359,2020-12-01T00:00:00.000Z,SN30530:0
360,2020-12-01T00:00:00.000Z,SN420:0
361,2020-12-01T00:00:00.000Z,SN67153:0
362,2020-12-01T00:00:00.000Z,SN70930:0
363,2020-12-01T00:00:00.000Z,SN64300:0
364,2020-12-01T00:00:00.000Z,SN62900:0
365,2020-12-01T00:00:00.000Z,SN68050:0
366,2020-12-19T00:00:00.000Z,SN66175:0
367,2020-12-01T00:00:00.000Z,SN1380:0
368,2020-12-01T00:00:00.000Z,SN49245:0
369,2020-12-01T00:00:00.000Z,SN52170:0
370,2020-12-01T00:00:00.000Z,SN80700:0
371,2020-12-01T00:00:00.000Z,SN13160:0
372,2020-12-02T00:00:00.000Z,SN50770:0
373,2020-12-01T00:00:00.000Z,SN77040:0
374,2020-12-01T00:00:00.000Z,SN79220:0
375,2020-12-01T00:00:00.000Z,SN4090:0
376,2020-12-01T00:00:00.000Z,SN36200:0
377,2020-12-01T00:00:00.000Z,SN31400:0
378,2020-12-01T00:00:00.000Z,SN84630:0
379,2020-12-01T00:00:00.000Z,SN17090:0
380,2020-12-01T00:00:00.000Z,SN58100:0
381,2020-12-01T00:00:00.000Z,SN86810:0
382,2020-12-01T00:00:00.000Z,SN76914:0
383,2020-12-01T00:00:00.000Z,SN52475:0
384,2020-12-01T00:00:00.000Z,SN76923:0
385,2020-12-01T00:00:00.000Z,SN4960:0
386,2020-12-01T00:00:00.000Z,SN15430:0
387,2020-12-01T00:00:00.000Z,SN36110:0
388,2020-12-01T00:00:00.000Z,SN31660:0
389,2020-12-01T00:00:00.000Z,SN50815:0
390,2020-12-01T00:00:00.000Z,SN27282:0
391,2020-12-01T00:00:00.000Z,SN53130:0
392,2020-12-01T00:00:00.000Z,SN98976:0
393,2020-12-01T00:00:00.000Z,SN38380:0
394,2020-12-01T00:00:00.000Z,SN23720:0
395,2020-12-01T00:00:00.000Z,SN18920:0
396,2020-12-01T00:00:00.000Z,SN12290:0
397,2020-12-01T00:00:00.000Z,SN4260:0
398,2020-12-01T00:00:00.000Z,SN51470:0
399,2020-12-01T00:00:00.000Z,SN16040:0
400,2020-12-01T00:00:00.000Z,SN94230:0
401,2020-12-01T00:00:00.000Z,SN12030:0
402,2020-12-01T00:00:00.000Z,SN78170:0
403,2020-12-01T00:00:00.000Z,SN66740:0
