,DATE,PRISOMRÅDE,VOLUM_KWH,ANTALL_MÅLEPUNKT
357,2021-03-12,NO3,80431023.847,12467229.0
358,2021-03-12,NO4,54705776.123,7937087.0
359,2021-03-12,NO5,50808053.367,7730522.0
360,2021-03-13,NO1,110983303.472,30801915.0
361,2021-03-13,NO2,107007982.663,19052821.0
362,2021-03-13,NO3,77673570.997,12467706.0
363,2021-03-13,NO4,51266384.506,7937064.0
364,2021-03-13,NO5,49823934.282,7730569.0
365,2021-03-14,NO1,106042231.793,30802037.0
366,2021-03-14,NO2,105003762.291,19052622.0
367,2021-03-14,NO3,77743234.04,12467564.0
368,2021-03-14,NO4,49347864.663,7937076.0
369,2021-03-14,NO5,49520535.715,7730621.0
370,2021-03-15,NO1,112952281.766,30803321.0
371,2021-03-15,NO2,108393450.825,19053890.0
372,2021-03-15,NO3,82813609.333,12467492.0
373,2021-03-15,NO4,51409196.395,7937355.0
374,2021-03-15,NO5,50506108.595,7731298.0
375,2021-03-16,NO1,114651245.469,30804834.0
376,2021-03-16,NO2,110851697.751,19054513.0
377,2021-03-16,NO3,80697479.84200001,12468000.0
378,2021-03-16,NO4,52626524.975999996,7937433.0
379,2021-03-16,NO5,50311473.849,7731599.0
380,2021-03-17,NO1,116023642.764,30805298.0
381,2021-03-17,NO2,111267047.807,19055104.0
382,2021-03-17,NO3,79327134.802,12469139.0
383,2021-03-17,NO4,54757725.21,7937646.0
384,2021-03-17,NO5,50362320.285,7733275.0
385,2021-03-18,NO1,113843963.461,30806498.0
386,2021-03-18,NO2,110427106.685,19055506.0
387,2021-03-18,NO3,79854339.836,12469984.0
388,2021-03-18,NO4,53920182.569,7937793.0
389,2021-03-18,NO5,49328763.625,7734337.0
390,2021-03-19,NO1,114714752.513,30807652.0
391,2021-03-19,NO2,110878312.869,19056276.0
392,2021-03-19,NO3,80629956.479,12470897.0
393,2021-03-19,NO4,54935744.13,7937996.0
394,2021-03-19,NO5,49097771.015,7736018.0
395,2021-03-20,NO1,105817183.676,30807744.0
396,2021-03-20,NO2,105270451.054,19055992.0
397,2021-03-20,NO3,77101673.648,12470734.0
398,2021-03-20,NO4,50908725.73,7937898.0
399,2021-03-20,NO5,47612538.238,7736070.0
400,2021-03-21,NO1,100972354.883,30807879.0
401,2021-03-21,NO2,105894546.588,19055846.0
402,2021-03-21,NO3,79928091.812,12470700.0
403,2021-03-21,NO4,51641113.556,7937786.0
404,2021-03-21,NO5,42992265.265,7736257.0
405,2021-03-22,NO1,103244133.573,30811018.0
406,2021-03-22,NO2,108945357.429,19056788.0
407,2021-03-22,NO3,80757915.388,12470996.0
408,2021-03-22,NO4,53119999.524,7938398.0
409,2021-03-22,NO5,48027915.833,7737431.0
410,2021-03-23,NO1,101064331.244,30811861.0
411,2021-03-23,NO2,105994548.823,19058385.0
412,2021-03-23,NO3,78923466.514,12471503.0
413,2021-03-23,NO4,51227942.936,7938721.0
414,2021-03-23,NO5,47518582.427,7738552.0
415,2021-03-24,NO1,99215022.519,30813336.0
416,2021-03-24,NO2,105041082.466,19059220.0
417,2021-03-24,NO3,78456274.879,12472626.0
418,2021-03-24,NO4,50077823.978,7938744.0
419,2021-03-24,NO5,47745812.079,7739506.0
420,2021-03-25,NO1,102558199.4,30815075.0
421,2021-03-25,NO2,106202388.836,19061003.0
422,2021-03-25,NO3,78814719.12,12473656.0
423,2021-03-25,NO4,51001358.074,7938762.0
424,2021-03-25,NO5,48310574.527,7740331.0
425,2021-03-26,NO1,107004792.924,30816984.0
426,2021-03-26,NO2,108953149.985,19061797.0
427,2021-03-26,NO3,78272572.938,12475125.0
428,2021-03-26,NO4,49691787.910000004,7939172.0
429,2021-03-26,NO5,48103742.138000004,7741322.0
430,2021-03-27,NO1,98246199.42300001,30816986.0
431,2021-03-27,NO2,102761234.361,19061501.0
432,2021-03-27,NO3,75606071.631,12475051.0
433,2021-03-27,NO4,47175233.359,7939076.0
434,2021-03-27,NO5,46334311.515,7741367.0
435,2021-03-28,NO1,98758876.914,30817064.0
436,2021-03-28,NO2,104844968.273,19060598.0
437,2021-03-28,NO3,73722634.898,12474956.0
438,2021-03-28,NO4,45726062.883,7938980.0
439,2021-03-28,NO5,44501717.29,7741382.0
440,2021-03-29,NO1,97405789.839,30817502.0
441,2021-03-29,NO2,104867927.519,19061656.0
442,2021-03-29,NO3,76145026.498,12475190.0
443,2021-03-29,NO4,48340666.319,7938936.0
444,2021-03-29,NO5,46465025.106,7741812.0
445,2021-03-30,NO1,86922395.801,30818530.0
446,2021-03-30,NO2,101191439.957,19062900.0
447,2021-03-30,NO3,75868375.072,12475390.0
448,2021-03-30,NO4,49568995.907,7938936.0
449,2021-03-30,NO5,46853148.319,7741980.0
450,2021-03-31,NO1,92702751.253,30819422.0
451,2021-03-31,NO2,101315244.044,19062994.0
452,2021-03-31,NO3,74468750.468,12475858.0
453,2021-03-31,NO4,48962192.299,7938932.0
454,2021-03-31,NO5,46305156.462,7742362.0
455,2021-04-01,NO1,92135899.33,30819312.0
456,2021-04-01,NO2,100701983.90100001,19062564.0
457,2021-04-01,NO3,72730066.662,12475428.0
458,2021-04-01,NO4,48486382.491,7938886.0
459,2021-04-01,NO5,46092829.477,7742200.0
460,2021-04-02,NO1,90974109.789,30819302.0
461,2021-04-02,NO2,100221230.387,19062430.0
462,2021-04-02,NO3,73011486.517,12475294.0
463,2021-04-02,NO4,48073597.126,7938864.0
464,2021-04-02,NO5,45520409.737,7742112.0
465,2021-04-03,NO1,91578572.403,30819192.0
466,2021-04-03,NO2,101938100.407,19062406.0
467,2021-04-03,NO3,72654128.824,12475270.0
468,2021-04-03,NO4,47927554.576,7938864.0
469,2021-04-03,NO5,46327654.278,7742112.0
470,2021-04-04,NO1,90083650.168,30819192.0
471,2021-04-04,NO2,107045060.581,19062384.0
472,2021-04-04,NO3,72607077.595,12475246.0
473,2021-04-04,NO4,48090159.304,7938864.0
