,DATE,PRISOMRÅDE,FORBRUK_KWH,ANTALL_MÅLEPUNKT,PRODUKSJON_KWH,NETTO_PRODUKSJON_KWH
207,2021-02-10,NO3,95555240.238,12455076.0,71166171.263,-24389068.97500001
208,2021-02-10,NO4,60192947.232,7930054.0,92232251.974,32039304.742000006
209,2021-02-10,NO5,60689667.941,7713278.0,141727805.13099998,81038137.18999998
210,2021-02-11,NO1,160073493.788,30765831.0,59786892.879,-100286600.90899998
211,2021-02-11,NO2,137401665.115,19037000.0,220545313.422,83143648.30699998
212,2021-02-11,NO3,100103337.445,12455922.0,57872605.498,-42230731.94699999
213,2021-02-11,NO4,58751988.598,7930573.0,88758831.31199999,30006842.713999994
214,2021-02-11,NO5,59954994.294,7714169.0,143310354.731,83355360.437
215,2021-02-12,NO1,160839634.825,30767280.0,57855318.742,-102984316.08299999
216,2021-02-12,NO2,138104240.284,19038832.0,206405061.92,68300821.63599998
217,2021-02-12,NO3,99332855.185,12456327.0,64765161.795,-34567693.39
218,2021-02-12,NO4,56985901.694,7930870.0,89528913.461,32543011.766999997
219,2021-02-12,NO5,60807904.04,7714557.0,140856888.053,80048984.01300001
220,2021-02-13,NO1,153528917.197,30767281.0,54114619.948,-99414297.249
221,2021-02-13,NO2,130892048.908,19038645.0,196793010.58,65900961.672000006
222,2021-02-13,NO3,92670686.529,12456115.0,75184018.276,-17486668.253000006
223,2021-02-13,NO4,54964271.675,7930822.0,88693530.947,33729259.272
224,2021-02-13,NO5,56661422.749,7714487.0,121136564.696,64475141.947
225,2021-02-14,NO1,152966387.762,30767418.0,47066736.95,-105899650.81199999
226,2021-02-14,NO2,128506568.165,19038614.0,198976502.695,70469934.52999999
227,2021-02-14,NO3,89409009.151,12456043.0,71602459.973,-17806549.17799999
228,2021-02-14,NO4,54109819.892,7930790.0,93427623.047,39317803.15500001
229,2021-02-14,NO5,54656630.691,7714480.0,100273455.547,45616824.856000006
230,2021-02-15,NO1,159996289.155,30770141.0,54475308.587,-105520980.568
231,2021-02-15,NO2,130781825.59,19039533.0,214221366.514,83439540.924
232,2021-02-15,NO3,92106112.217,12457071.0,65437098.587,-26669013.629999995
233,2021-02-15,NO4,55443479.531,7931120.0,90699079.144,35255599.61299999
234,2021-02-15,NO5,56023216.667,7714882.0,121164609.073,65141392.405999996
235,2021-02-16,NO1,150031461.678,30772580.0,53873384.657,-96158077.021
236,2021-02-16,NO2,127356348.744,19040582.0,220793942.437,93437593.693
237,2021-02-16,NO3,89386528.157,12457963.0,82130316.691,-7256211.466000006
238,2021-02-16,NO4,56868518.455,7931324.0,94556179.886,37687661.43100001
239,2021-02-16,NO5,51028579.413,7715738.0,125595400.809,74566821.396
240,2021-02-17,NO1,145552999.161,30775278.0,52974320.701,-92578678.46000001
241,2021-02-17,NO2,126896260.494,19040926.0,216844677.593,89948417.09899999
242,2021-02-17,NO3,87366995.422,12457856.0,84442852.887,-2924142.5350000113
243,2021-02-17,NO4,59175787.094,7931788.0,97319465.198,38143678.104
244,2021-02-17,NO5,51508065.671,7717483.0,115930347.93,64422282.25900001
245,2021-02-18,NO1,143188468.864,30776010.0,50530007.59,-92658461.27399999
246,2021-02-18,NO2,122699518.481,19041466.0,211106803.455,88407284.974
247,2021-02-18,NO3,86269338.716,12458080.0,78405611.706,-7863727.010000005
248,2021-02-18,NO4,59274180.767,7931893.0,95744992.124,36470811.357
249,2021-02-18,NO5,50658814.389,7718500.0,115672583.893,65013769.50400001
250,2021-02-19,NO1,133294101.917,30776979.0,50306539.977,-82987561.94
251,2021-02-19,NO2,117663364.866,19042236.0,199658173.924,81994809.058
252,2021-02-19,NO3,82569058.29,12458991.0,80850168.838,-1718889.452000007
253,2021-02-19,NO4,59625180.998,7932185.0,102469198.812,42844017.814
254,2021-02-19,NO5,50111506.019,7719143.0,117004649.533,66893143.514000006
255,2021-02-20,NO1,119508471.232,30777052.0,41286311.801,-78222159.431
256,2021-02-20,NO2,111576334.579,19041949.0,145890264.762,34313930.183
257,2021-02-20,NO3,79286118.338,12458774.0,64151406.558,-15134711.780000001
258,2021-02-20,NO4,57197632.845,7932021.0,98437007.101,41239374.256
259,2021-02-20,NO5,47593286.491,7719118.0,67058644.282,19465357.791
260,2021-02-21,NO1,113851836.607,30777219.0,44460636.51,-69391200.097
261,2021-02-21,NO2,108099606.786,19041723.0,143075007.48,34975400.69399999
262,2021-02-21,NO3,76296419.141,12458608.0,66282132.91,-10014286.231000006
263,2021-02-21,NO4,57196672.388,7931973.0,87849672.99,30653000.601999998
264,2021-02-21,NO5,46215994.524,7719105.0,80541824.214,34325829.690000005
265,2021-02-22,NO1,119576936.501,30779054.0,53731374.508,-65845561.993
266,2021-02-22,NO2,113118941.75,19042367.0,206431695.005,93312753.255
267,2021-02-22,NO3,82629428.773,12460110.0,78701653.15100001,-3927775.621999994
268,2021-02-22,NO4,58973129.865,7932466.0,99944945.493,40971815.628
269,2021-02-22,NO5,47672918.948,7719915.0,111806485.358,64133566.41
270,2021-02-23,NO1,119029500.971,30781651.0,54508611.135,-64520889.836
271,2021-02-23,NO2,114156556.613,19042909.0,197407455.67,83250899.05699998
272,2021-02-23,NO3,80144008.858,12460840.0,80499029.687,355020.8290000111
273,2021-02-23,NO4,57524031.52,7932710.0,96433745.043,38909713.522999994
274,2021-02-23,NO5,48276049.78,7721156.0,106315725.965,58039676.185
275,2021-02-24,NO1,117164108.833,30783232.0,51084102.214,-66080006.619
276,2021-02-24,NO2,113153972.756,19043246.0,140900947.716,27746974.959999993
277,2021-02-24,NO3,77759671.029,12461776.0,72235222.672,-5524448.356999993
278,2021-02-24,NO4,53850345.344,7933080.0,80627248.237,26776902.893000007
279,2021-02-24,NO5,49062892.904,7722784.0,67592195.137,18529302.232999995
280,2021-02-25,NO1,115899311.588,30784244.0,53358402.322,-62540909.266
281,2021-02-25,NO2,112366307.372,19044150.0,143186837.608,30820530.236000016
282,2021-02-25,NO3,78647019.462,12462139.0,68402160.907,-10244858.554999992
283,2021-02-25,NO4,51122333.146,7934184.0,74928158.368,23805825.222000003
284,2021-02-25,NO5,48667905.9,7724275.0,76468247.928,27800342.028000005
285,2021-02-26,NO1,111277202.618,30786359.0,55252028.285,-56025174.333000004
286,2021-02-26,NO2,110303211.792,19044837.0,136776757.872,26473546.080000013
287,2021-02-26,NO3,79058459.53,12462020.0,60975874.152,-18082585.378
288,2021-02-26,NO4,51605905.73,7934180.0,64494631.171,12888725.441
289,2021-02-26,NO5,48549416.316,7724711.0,72895335.07699999,24345918.760999992
290,2021-02-27,NO1,108491887.313,30786337.0,57590113.831,-50901773.48199999
291,2021-02-27,NO2,107039744.895,19044767.0,153871326.343,46831581.448
292,2021-02-27,NO3,76622840.102,12461926.0,71335701.763,-5287138.339000002
293,2021-02-27,NO4,49551141.996,7934084.0,59456581.495,9905439.498999998
294,2021-02-27,NO5,47651426.117,7724688.0,90319722.561,42668296.444000006
295,2021-02-28,NO1,103087161.84,30786504.0,57301553.743,-45785608.097
296,2021-02-28,NO2,104910225.363,19044813.0,146473197.435,41562972.072
